room_number,Slug,imagen principal,bathroom_type,description_es,Ubicación,Description rich del cuarto,Período de disponibilidad,Galeria Imagen 1,Galeria Imagen 2,Galeria Imagen 3,Galeria Imagen 4,Galeria Imagen 5,Galeria Imagen 6,Galeria Imagen 7,Galeria Imagen 8,Galeria Imagen 9,Galeria Imagen 10
1,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805885e2316d13791ea6fb4_sala_principa.jpeg,private,"Tres recámaras, cocina, dos baños y área de estudio. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805886b168231fd02c628b0_Sala1.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68058870f7bc963f0373b9c2_sala2.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/68058874a8b8451c98bf27df_sala3.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/680588773494ae7eba69eaee_cocina.jpeg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af1858514b6a497047cb_C4-01-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af1bef07ae5dceca9ec4_C4-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af1e0bb52c6dcc47471c_C4-04-scaled.jpg,,,
10,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9aaf05d114b42f36a97_C03-04-scaled.jpg,shared,"Dos recámaras, cocina y un baño. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b14e42b20c3dfaaeb7_C03-07-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b4a5d412be17b19252_C03-05-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b80db1dbcde5173684_C03-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9be666751677bc5c93b_C03-03-scaled.jpg,,,,,,
11,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f87b00063dc30374c593_C103-01-scaled.jpg,shared,"Dos recámaras, cocina y un baño. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8775f10a677f984910a_C103-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f882d5e46d026a1b633b_C103-06-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f885bcf31cd1dbc8f149_C103-03-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f87fa9f6543609fc18e4_C013-05jpg-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8892e006071e7e054db_C103-04-scaled.jpg,,,,,
2,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af012316d13791fc5c8d_sala.jpg,shared,"Tres recámaras, cocina, dos baños y área de estudio. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af148a90f9174d7e89cb_C4-05-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805b40458514b6a49728dbe_cuarto2.jpeg,,,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af208e51b8cda4719346_C-BANO-scaled.jpg,,,,,
3,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af012316d13791fc5c8d_sala.jpg,shared,"Dos recámaras, cocina y un baño. Planta baja.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8775f10a677f984910a_C103-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f882d5e46d026a1b633b_C103-06-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f87fa9f6543609fc18e4_C013-05jpg-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f885bcf31cd1dbc8f149_C103-03-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8892e006071e7e054db_C103-04-scaled.jpg,,,,,
4,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af1bef07ae5dceca9ec4_C4-02-scaled.jpg,shared,"Tres recámaras, cocina y dos baños. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af012316d13791fc5c8d_sala.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af148a90f9174d7e89cb_C4-05-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af1e0bb52c6dcc47471c_C4-04-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af1858514b6a497047cb_C4-01-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6805af208e51b8cda4719346_C-BANO-scaled.jpg,,,,,
5,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9aaf05d114b42f36a97_C03-04-scaled.jpg,shared,"Dos recámaras, cocina y un baño. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b14e42b20c3dfaaeb7_C03-07-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b4a5d412be17b19252_C03-05-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b80db1dbcde5173684_C03-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9be666751677bc5c93b_C03-03-scaled.jpg,,,,,,
6,centro,,shared,"Dos recámaras, cocina y un baño. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8775f10a677f984910a_C103-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f882d5e46d026a1b633b_C103-06-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f885bcf31cd1dbc8f149_C103-03-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f87fa9f6543609fc18e4_C013-05jpg-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8892e006071e7e054db_C103-04-scaled.jpg,,,,,
7,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9aaf05d114b42f36a97_C03-04-scaled.jpg,shared,"Dos recámaras, cocina y un baño. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b14e42b20c3dfaaeb7_C03-07-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b4a5d412be17b19252_C03-05-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9b80db1dbcde5173684_C03-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f9be666751677bc5c93b_C03-03-scaled.jpg,,,,,,
9,centro,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f87b00063dc30374c593_C103-01-scaled.jpg,shared,"Dos recámaras, cocina y un baño. Segundo piso.",,,enero-2026---mayo-2026-5-meses; enero-2026---junio-2026-6-meses,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8775f10a677f984910a_C103-02-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f882d5e46d026a1b633b_C103-06-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f885bcf31cd1dbc8f149_C103-03-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f87fa9f6543609fc18e4_C013-05jpg-scaled.jpg,https://cdn.prod.website-files.com/66c2d9453ef9ccc73309930e/6859f8892e006071e7e054db_C103-04-scaled.jpg,,,,,
